id,idEleccion,codigoMesa,idUbigeo,ubigeoNivel01,ubigeoNivel02,ubigeoNivel03,nombreLocalVotacion,totalElectoresHabiles,descripcionEstadoActa,estadoDescripcionActaResolucion,ts_digitalizacion_ms,ts_digitacion_ms,ts_contabilizacion_ms,ts_observada_ms,hora_digitaliz_lima,proc_segundos,flag_flash_acta,flag_hora_anomala
20401020210,10,000204,10202,AMAZONAS,BAGUA,ARAMANGO,IE 16200,299,Para envío al JEE,Acta con error aritmético,1776060141000,1776060159000,,1776090039000,2026-04-13 01:02,,,False
90001701020210,10,900017,10202,AMAZONAS,BAGUA,ARAMANGO,IE 16205,261,Para envío al JEE,Acta con error aritmético,1776099221000,1776099268000,,1776120700000,2026-04-13 11:53,,,False
26001020510,10,000260,10205,AMAZONAS,BAGUA,BAGUA,IE TECNICO INDUSTRIAL BAGUA,299,Para envío al JEE,Acta con error aritmético,1776054467000,1776054712000,,1776089700000,2026-04-12 23:27,,,False
26701020510,10,000267,10205,AMAZONAS,BAGUA,BAGUA,IEP 16193,299,Para envío al JEE,Acta con error aritmético,1776054913000,1776054928000,,1776089820000,2026-04-12 23:35,,,False
27601020510,10,000276,10205,AMAZONAS,BAGUA,BAGUA,IEP 16193,299,Para envío al JEE,Acta con error aritmético,1776054710000,1776054753000,,1776089766000,2026-04-12 23:31,,,False
28001020510,10,000280,10205,AMAZONAS,BAGUA,BAGUA,IEP 16194,299,Para envío al JEE,Acta con error aritmético,1776059099000,1776059115000,,1776090155000,2026-04-13 00:44,,,False
29001020510,10,000290,10205,AMAZONAS,BAGUA,BAGUA,IEP 16194,299,Para envío al JEE,Acta con error aritmético,1776059237000,1776059252000,,1776090097000,2026-04-13 00:47,,,False
32801020610,10,000328,10206,AMAZONAS,BAGUA,IMAZA,IE TECNICO INDUSTRIAL TUPAC AMARU,296,Para envío al JEE,Acta con error aritmético,1776128524000,1776129370000,,1776172048000,2026-04-13 20:02,,,False
35601020610,10,000356,10206,AMAZONAS,BAGUA,IMAZA,IE JUAN VELASCO ALVARADO,299,Para envío al JEE,Acta con error aritmético,1776109842000,1776110157000,,1776121525000,2026-04-13 14:50,,,False
35701020610,10,000357,10206,AMAZONAS,BAGUA,IMAZA,IE SHUSHUNGA,299,Para envío al JEE,Acta con error aritmético,1776110584000,1776110862000,,1776121810000,2026-04-13 15:03,,,False
35901020610,10,000359,10206,AMAZONAS,BAGUA,IMAZA,IE SHUSHUNGA,299,Para envío al JEE,Acta con error aritmético,1776110582000,1776110599000,,1776121872000,2026-04-13 15:03,,,False
36601020610,10,000366,10206,AMAZONAS,BAGUA,IMAZA,IE SHUSHUNGA,299,Para envío al JEE,Acta con error aritmético,1776110614000,1776110754000,,1776122466000,2026-04-13 15:03,,,False
90002301020610,10,900023,10206,AMAZONAS,BAGUA,IMAZA,IE 16352,196,Para envío al JEE,Acta con error aritmético,1776151872000,1776151891000,,1776171259000,2026-04-14 02:31,,,True
90004701020610,10,900047,10206,AMAZONAS,BAGUA,IMAZA,IE 17137,218,Para envío al JEE,Acta con error aritmético,1776212128000,1776212145000,,1776221583000,2026-04-14 19:15,,,False
8001010310,10,000080,10103,AMAZONAS,CHACHAPOYAS,BALSAS,IE 18012,251,Para envío al JEE,Acta con error aritmético,1776108136000,1776108931000,,1776120685000,2026-04-13 14:22,,,False
3301010110,10,000033,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,IE SEMINARIO JESUS MARIA,253,Para envío al JEE,Acta impugnada,1776056264000,1776056513000,,1776120684000,2026-04-12 23:57,,,False
3401010110,10,000034,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,IE SEMINARIO JESUS MARIA,300,Para envío al JEE,Acta con error aritmético,1776082506000,1776083618000,,1776120685000,2026-04-13 07:15,,,False
6201010110,10,000062,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,IE EMBLEMATICA SAN JUAN DE LA LIBERTAD,292,Para envío al JEE,Acta incompleta,1776051344000,1776051398000,,1776120685000,2026-04-12 22:35,,,False
8801010510,10,000088,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,IE 18023,263,Para envío al JEE,Acta con error aritmético,1776082498000,1776083518000,,1776120686000,2026-04-13 07:14,,,False
9301010610,10,000093,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,IE OCTAVIO ORTIZ ARRIETA,300,Para envío al JEE,Acta con error aritmético,1776112190000,1776112462000,,1776120686000,2026-04-13 15:29,,,False
9601010610,10,000096,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,IEP 18323,243,Para envío al JEE,Acta sin firmas,1776111708000,1776112022000,,1776120687000,2026-04-13 15:21,,,False
10501010910,10,000105,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,IE 18041 PURIFICACION CULQUI PUIQUIN,300,Para envío al JEE,Acta con error aritmético,1776104959000,1776106930000,,1776120687000,2026-04-13 13:29,,,False
